lambdaAI,lambdaBI,queueSize,R,B,Loss Probability nodes,Loss Probability links,Loss Probability,Average Delay,Transmitted bandwidth,Wk
150,150,64,500,10000000,0,0,0,0.00982,233827.82,0.01509
150,150,64,750,10000000,0,0,0,0.00663,233577.3,0.00834
150,150,64,1000,10000000,0,0,0,0.0054,233979.32,0.00626
150,150,256,500,10000000,0,0,0,0.00977,232979.78,0.01509
150,150,256,750,10000000,0,0,0,0.00662,232961.94,0.00834
150,150,256,1000,10000000,0,0,0,0.0054,233344.6,0.00626
150,600,64,500,10000000,33.35175,0,33.35175,0.24613,361545.4,-0.01213
150,600,64,750,10000000,0.80478,0,0.80478,0.05317,583628.86,0.00896
150,600,64,1000,10000000,0,0,0,0.00745,587890.16,0.01353
150,600,256,500,10000000,32.85452,0,32.85452,0.97383,360799.32,-0.01213
150,600,256,750,10000000,0.30115,0,0.30115,0.19829,585577.56,0.00896
150,600,256,1000,10000000,0,0,0,0.00746,587321.62,0.01353
600,150,64,500,10000000,33.51197,0,33.51197,0.23854,451030.38,-0.01213
600,150,64,750,10000000,0.56011,0,0.56011,0.0491,582928.5,0.00896
600,150,64,1000,10000000,0,0,0,0.00745,586636.96,0.01353
600,150,256,500,10000000,32.92378,0,32.92378,0.92027,456723.48,-0.01213
600,150,256,750,10000000,0.20351,0,0.20351,0.20534,584107.84,0.00896
600,150,256,1000,10000000,0,0,0,0.00746,587001.24,0.01353
600,600,64,500,10000000,58.27027,0,58.27027,0.25779,300473.28,-0.00684
600,600,64,750,10000000,37.59938,0,37.59938,0.09361,679479.08,0.00824
600,600,64,1000,10000000,16.5951,0,16.5951,0.07278,844541.46,-0.00148
600,600,256,500,10000000,58.01832,0,58.01832,1.02029,390560.74,-0.00684
600,600,256,750,10000000,37.47508,0,37.47508,0.34891,679716.34,0.00824
600,600,256,1000,10000000,16.69364,0,16.69364,0.26385,844699.74,-0.00148
