lambdaAI,lambdaBI,lambdaIA,lamdbaIB,queueSize,B,R,Loss Probability nodes,Loss Probability links,Loss Probability,Average Delay ABI,Average Delay IA,Average Delay IB,Transmitted bandwidth ABI,Transmitted bandwidth IA,Transmitted bandwidth IB,WkABI,WkIA,WkIB
150,150,450,150,64,10000000,500,50.33681,0,50.33681,0.26196,0.26221,0.26121,136038.92,209406.18,70317.12,-0.00527,-0.01019,-0.0024
150,150,450,150,64,10000000,750,19.89152,0,19.89152,0.16903,0.16915,0.16874,193003.4,292033.42,98043.16,-0.00666,-0.00603,-0.01143
150,150,450,150,64,10000000,1000,0,0,0,0.01188,0.01195,0.01154,234597.2,353922.36,116578.96,0.02419,0.02418,0.0217
150,150,450,150,128,10000000,500,50.34569,0,50.34569,0.51662,0.51725,0.51634,136382,210202.24,69967.88,-0.00527,-0.01019,-0.0024
150,150,450,150,128,10000000,750,20.40299,0,20.40299,0.3382,0.33951,0.33873,163103.46,313569.02,102153.64,-0.00666,-0.00603,-0.01143
150,150,450,150,128,10000000,1000,0,0,0,0.01201,0.01205,0.01177,233225.9,351512.16,118515.4,0.02419,0.02418,0.0217
150,150,450,600,64,10000000,500,68.86081,0,68.86081,0.26375,0.26291,0.26328,96839.9,136728.82,181109.86,-0.00712,-0.00407,-0.00167
150,150,450,600,64,10000000,750,50.1679,0,50.1679,0.17415,0.17515,0.17536,60020.2,223501.38,302346.2,0.00223,0.00209,-0.00037
150,150,450,600,64,10000000,1000,29.5911,0,29.5911,0.12986,0.12944,0.12957,194264.96,258172.5,344580.34,-0.00023,-0.00207,-0.00046
150,150,450,600,128,10000000,500,66.64566,0,66.64566,0.51748,0.51817,0.51874,36064.9,108654.66,146795.44,-0.00712,-0.00407,-0.00167
150,150,450,600,128,10000000,750,50.84066,0,50.84066,0.34399,0.3452,0.34532,75700.36,216002.56,286744.34,0.00223,0.00209,-0.00037
150,150,450,600,128,10000000,1000,31.82792,0,31.82792,0.25694,0.25722,0.25737,147973,258912.8,348467.82,-0.00023,-0.00207,-0.00046
600,150,450,150,64,10000000,500,74.20734,0,74.20734,0.35814,0.38697,0.26215,104935.18,73365.22,28387.62,0.00049,-0.00141,0.00024
600,150,450,150,64,10000000,750,49.68963,0,49.68963,0.21033,0.22679,0.17412,491713.02,133301.62,45330,-0.00226,-0.00353,-0.00143
600,150,450,150,64,10000000,1000,31.99804,0,31.99804,0.13317,0.13402,0.12951,424488.96,256770.1,86573.1,-0.01813,-0.01841,-0.00401
600,150,450,150,128,10000000,500,76.6031,0,76.6031,0.71806,0.77081,0.51775,140712.56,114448.36,43204.78,0.00049,-0.00141,0.00024
600,150,450,150,128,10000000,750,52.50524,0,52.50524,0.47249,0.51126,0.34368,219673.08,270427.16,98557.9,-0.00226,-0.00353,-0.00143
600,150,450,150,128,10000000,1000,32.06684,0,32.06684,0.26135,0.26234,0.25726,422491.92,258191.26,85348.28,-0.01813,-0.01841,-0.00401
600,150,450,600,64,10000000,500,79.66835,0,79.66835,0.36033,0.38739,0.26384,220319.6,66360.78,144073.14,-0.0005,0.00025,-0.00086
600,150,450,600,64,10000000,750,70.69482,0,70.69482,0.22593,0.23897,0.17464,126897.84,74710.62,102914.34,-0.00127,-0.00076,0.00106
600,150,450,600,64,10000000,1000,55.3634,0,55.3634,0.13291,0.1334,0.13162,255797.56,187494.38,249237.76,-0.0144,-0.0085,0.00275
600,150,450,600,128,10000000,500,79.58856,0,79.58856,0.67239,0.77029,0.51877,67990.2,46567.02,103916.74,-0.0005,0.00025,-0.00086
600,150,450,600,128,10000000,750,67.0717,0,67.0717,0.47176,0.50473,0.34639,110777.72,185365.8,257259.56,-0.00127,-0.00076,0.00106
600,150,450,600,128,10000000,1000,56.31989,0,56.31989,0.26047,0.26055,0.25921,337029.38,163203.22,216796.3,-0.0144,-0.0085,0.00275
